VERSION 10100 -- Tue Jan 15 19:35:26 2002 UTC -- created by alex on q from file /net/q/u/alex/kepler/sgrid/s25/s25#presn
  grid    cell outer total mass        cell outer radius      cell outer velocity             cell density         cell temperature            cell pressure     cell specific energy    cell specific entropy    cell angular velocity               cell A_bar                 cell Y_e       stability   NETWORK                 neutrons                       H1                      He3                      He4                      C12                      N14                      O16                     Ne20                     Mg24                     Si28                      S32                     Ar36                     Ca40                     Ti44                     Cr48                     Fe52                     Fe54                     Ni56                     Fe56                     'Fe'
  11:    1.0443299999999199E+32   2.0962781940650966E+07  -1.4740431069273502E+07   2.5037294386321716E+09   7.8035189107181864E+09   1.5757648962890198E+27   1.7532696942719846E+18   9.5864696873408162E-01   0.0000000000000000E+00   4.3549852793354866E+01   4.4590362330580047E-01       radiative       NSE   7.5535032381434785E-04   7.1316504956686334E-05                      ---   1.7274492593875763E-02                      ---                      ---   0.0000000000000000E+00                      ---   2.4669090051785643E-06   1.3180635978588731E-06   1.8794492222895306E-04   1.0151421126000418E-04   1.3493716493507771E-04   3.1049999525330193E-03   1.6114907687718044E-01                      ---   1.7223470247658677E-03   1.8781884211532746E-07   1.5403558376196254E-02   8.0008966322343078E-01
  12:    1.1935199999999085E+32   2.2012653587711781E+07  -1.5476574731677383E+07   2.4486497726650720E+09   7.7994196713739920E+09   1.5330581224897162E+27   1.7440252873075702E+18   9.6473465946232961E-01   0.0000000000000000E+00   4.3363372511264991E+01   4.4609783211449849E-01       radiative       NSE   7.5144037630095364E-04   7.4110539692878434E-05                      ---   1.7698133253968969E-02                      ---                      ---   0.0000000000000000E+00                      ---   2.5396258456342424E-06   1.4143839036864907E-06   1.9443161007253886E-04   1.0493273952279487E-04   1.3647456788670346E-04   3.0962581157855293E-03   1.6022830321939477E-01                      ---   1.8367398377265940E-03   2.0847743982199362E-07   1.6145558608128645E-02   7.9972859619450620E-01
  13:    1.3924399999999854E+32   2.3303540016884729E+07  -1.6381252437096357E+07   2.3879005743692026E+09   7.7942684420123701E+09   1.4862281214853494E+27   1.7336476460339569E+18   9.7159893015406473E-01   0.0000000000000000E+00   4.3156749276192421E+01   4.4631860662408479E-01       radiative       NSE   7.4623212877216718E-04   7.7331727913387737E-05                      ---   1.8175501664894539E-02                      ---                      ---   0.0000000000000000E+00                      ---   2.6212545205391513E-06   1.5304266439554686E-06   2.0187890879800910E-04   1.0885557235002386E-04   1.3813817536195445E-04   3.0848484416719267E-03   1.5916104731443384E-01                      ---   1.9746935706554947E-03   2.3446767792135183E-07   1.7025075142994679E-02   7.9930111574116991E-01
  14:    1.5913599999999702E+32   2.4496257765611831E+07  -1.7216647597011507E+07   2.3229970219705925E+09   7.7879874408781939E+09   1.4365178380925633E+27   1.7223384893197491E+18   9.7911310390908401E-01   0.0000000000000000E+00   4.2935047513415384E+01   4.4656285872377793E-01       radiative       NSE   7.3954468260211130E-04   8.0946781354804270E-05                      ---   1.8697377374865071E-02                      ---                      ---   0.0000000000000000E+00                      ---   2.7101157615274279E-06   1.6673087314921834E-06   2.1020279737797074E-04   1.1323846768404477E-04   1.3987618171715029E-04   3.0704774991200624E-03   1.5795486161327338E-01                      ---   2.1377154625012149E-03   2.6666044018923011E-07   1.8044594878644030E-02   7.9880558364586152E-01
  15:    1.7902800000005083E+32   2.5611045521928377E+07  -1.7997002958936751E+07   2.2618441570542169E+09   7.7812809401932526E+09   1.3899906376102863E+27   1.7114623673976507E+18   9.8636949824225439E-01   0.0000000000000000E+00   4.2725466750639015E+01   4.4680173080251800E-01       radiative       NSE   7.3209156893604165E-04   8.4529485340495024E-05                      ---   1.9200321997357647E-02                      ---                      ---   0.0000000000000000E+00                      ---   2.7953786935981633E-06   1.8102439309906283E-06   2.1842261434282787E-04   1.1756570515367619E-04   1.4147388864931655E-04   3.0547310023530581E-03   1.5674945545729510E-01                      ---   2.3083878536019672E-03   3.0203732280014263E-07   1.9090923678952067E-02   7.9829621236001536E-01
  16:    1.9892000000008620E+32   2.6662324378650635E+07  -1.8732471894117892E+07   2.2038960327475686E+09   7.7741709695266485E+09   1.3461850404595033E+27   1.7009508846249605E+18   9.9340924047164991E-01   0.0000000000000000E+00   4.2526407202227418E+01   4.4703670447370975E-01       radiative       NSE   7.2391743057554497E-04   8.8095418862981384E-05                      ---   1.9687014858276557E-02                      ---                      ---   0.0000000000000000E+00                      ---   2.8775477033923011E-06   1.9600601666446800E-06   2.2658007015943595E-04   1.2186011169512026E-04   1.4295063107590082E-04   3.0377068787490660E-03   1.5553907655790114E-01                      ---   2.4878319541070375E-03   3.4103272922752023E-07   2.0169759475055459E-02   7.9776901173990522E-01
  17:    2.1881200000008467E+32   2.7660776740838706E+07  -1.9430574617449731E+07   2.1487367844141669E+09   7.7666673859018116E+09   1.3047483629585769E+27   1.6907464844612014E+18   1.0002615335846716E+00   0.0000000000000000E+00   4.2336745911000286E+01   4.4726898562223205E-01       radiative       NSE   7.1504587409464419E-04   9.1656370551286532E-05                      ---   2.0159287558784461E-02                      ---                      ---   0.0000000000000000E+00                      ---   2.9569838295980149E-06   2.1175961693267932E-06   2.3470825388599508E-04   1.2614005932172750E-04   1.4432071231774816E-04   3.0194638091921638E-03   1.5431860529550021E-01                      ---   2.6772145835056082E-03   3.8414188278406806E-07   2.1286645163108887E-02   7.9722039842585180E-01
  18:    2.3870400000005548E+32   2.8614563888860203E+07  -2.0097055953008831E+07   2.0960385435022395E+09   7.7587960611081057E+09   1.2654030566434306E+27   1.6808084904938568E+18   1.0069538863451768E+00   0.0000000000000000E+00   4.2155368465354968E+01   4.4749940569276275E-01       radiative       NSE   7.0553430140104525E-04   9.5223597241212492E-05                      ---   2.0618928348589981E-02                      ---                      ---   0.0000000000000000E+00                      ---   3.0340384667834382E-06   2.2836737278791214E-06   2.4283546727119014E-04   1.3042102023616417E-04   1.4559834842755714E-04   3.0001077019232176E-03   1.5308517138096214E-01                      ---   2.8776093113665616E-03   4.3189770668341020E-07   2.2445981058922773E-02   7.9664574618406636E-01
  19:    2.5859599999998017E+32   2.9530079211680930E+07  -2.0736413734510541E+07   2.0455384794774032E+09   7.7505641996645174E+09   1.2279254959138996E+27   1.6711062419471519E+18   1.0135062223496523E+00   0.0000000000000000E+00   4.1981582654175298E+01   4.4772866765565666E-01       radiative       NSE   6.9541266018786018E-04   9.8804515255035874E-05                      ---   2.1066953127071495E-02                      ---                      ---   0.0000000000000000E+00                      ---   3.1089107331861913E-06   2.4591096422434236E-06   2.5098192031042352E-04   1.3471441543458590E-04   1.4679275030792622E-04   2.9796921405596875E-03   1.5183583378179616E-01                      ---   3.0901524125417708E-03   4.8490222107331961E-07   2.3652275120778537E-02   7.9604120243873366E-01
  20:    2.7848799999986796E+32   3.0412436037131444E+07  -2.1352242236648262E+07   1.9970228632702882E+09   7.7419485311975565E+09   1.1921319756234105E+27   1.6616088104266639E+18   1.0199283483923245E+00   0.0000000000000000E+00   4.1815234434191396E+01   4.4795750781520305E-01       radiative       NSE   6.8466019969285353E-04   1.0240195565862760E-04                      ---   2.1503378728748683E-02                      ---                      ---   0.0000000000000000E+00                      ---   3.1816148673032170E-06   2.6447768126350594E-06   2.5916080252925375E-04   1.3902851985419636E-04   1.4790710039083504E-04   2.9581826877967746E-03   1.5056630177405311E-01                      ---   3.3162050954750476E-03   5.4387273533741968E-07   2.4911154632514816E-02   7.9540407869492757E-01
  21:    2.9837999999970964E+32   3.1265797738722127E+07  -2.1947466461629689E+07   1.9503109602788310E+09   7.7329826692108459E+09   1.1578691132177807E+27   1.6522948786986778E+18   1.0262384394206208E+00   0.0000000000000000E+00   4.1655469650916991E+01   4.4818625450409849E-01       radiative       NSE   6.7335693690511692E-04   1.0602455700060330E-04                      ---   2.1929500918355885E-02                      ---                      ---   0.0000000000000000E+00                      ---   3.2524088108076637E-06   2.8415602661369132E-06   2.6739044309235849E-04   1.4337332223754131E-04   1.4895279647605215E-04   2.9357110982248654E-03   1.4927622785063158E-01                      ---   3.5568861430100864E-03   6.0955269089449588E-07   2.6225959504334331E-02   7.9472870589794109E-01
  22:    3.1827199999949597E+32   3.2093605274509288E+07  -2.2524501860031903E+07   1.9052516143114102E+09   7.7236688495466633E+09   1.1250070698462414E+27   1.6431456147871091E+18   1.0324461864387893E+00   0.0000000000000000E+00   4.1501933597599688E+01   4.4841532279211493E-01       radiative       NSE   6.6152997180128430E-04   1.0967682374944051E-04                      ---   2.2345704432332074E-02                      ---                      ---   0.0000000000000000E+00                      ---   3.3213796342749699E-06   3.0504117953147779E-06   2.7568316509465706E-04   1.4775621891386170E-04   1.4993556907174572E-04   2.9123193919715464E-03   1.4796369754250804E-01                      ---   3.8135465648119257E-03   6.8281954991414350E-07   2.7601183273231092E-02   7.9401066821640442E-01
  23:    3.3816399999923619E+32   3.2898740461636178E+07  -2.3085369941658586E+07   1.8617147116964684E+09   7.7140306590407228E+09   1.0934346256619443E+27   1.6341447679793789E+18   1.0385638296625255E+00   0.0000000000000000E+00   4.1354034224955313E+01   4.4864491837605924E-01       radiative       NSE   6.4924564783461409E-04   1.1336509370219293E-04                      ---   2.2752820512091688E-02                      ---                      ---   0.0000000000000000E+00                      ---   3.3886917105571495E-06   3.2722878974155451E-06   2.8405143013035316E-04   1.5218426926942558E-04   1.5086376472986894E-04   2.8881137322321919E-03   1.4662861908545605E-01                      ---   4.0874303502058040E-03   7.6461710880973763E-07   2.9040131640729237E-02   7.9324446764897172E-01
  24:    3.5805599999893030E+32   3.3683644297566429E+07  -2.3631781098570615E+07   1.8195890597046990E+09   7.7040642242146120E+09   1.0630555247778343E+27   1.6252817009322988E+18   1.0445967521435997E+00   0.0000000000000000E+00   4.1211592818197680E+01   4.4887538098163415E-01       radiative       NSE   6.3652238280878450E-04   1.1709251871170995E-04                      ---   2.3150916610782394E-02                      ---                      ---   0.0000000000000000E+00                      ---   3.4543753674436128E-06   3.5082686332537528E-06   2.9250423620621519E-04   1.5666332067485757E-04   1.5174131272225485E-04   2.8631210048832138E-03   1.4526918329171584E-01                      ---   4.3800911731608294E-03   8.5607411069864934E-07   3.0547567659011243E-02   7.9242545972969791E-01
  25:    3.7794799999859673E+32   3.4450405860537149E+07  -2.4165197882831663E+07   1.7787769724584591E+09   7.6937890662584343E+09   1.0337857048016395E+27   1.6165389388930504E+18   1.0505537683273298E+00   0.0000000000000000E+00   4.1074165249108340E+01   4.4910679999160363E-01       radiative       NSE   6.2342352779838389E-04   1.2086374727946323E-04                      ---   2.3540545588409539E-02                      ---                      ---   0.0000000000000000E+00                      ---   3.5185305818536937E-06   3.7593757001001552E-06   3.0104903278863483E-04   1.6119791260223062E-04   1.5257471311372521E-04   2.8374396955658842E-03   1.4388577649835510E-01                      ---   4.6928825742466821E-03   9.5837955096276766E-07   3.2126574089792019E-02   7.9154808164440060E-01
