VERSION 10100 -- Tue Jan 15 19:35:09 2002 UTC -- created by alex on q from file /net/q/u/alex/kepler/sgrid/s22/s22#presn
  grid    cell outer total mass        cell outer radius      cell outer velocity             cell density         cell temperature            cell pressure     cell specific energy    cell specific entropy    cell angular velocity               cell A_bar                 cell Y_e       stability   NETWORK                 neutrons                       H1                      He3                      He4                      C12                      N14                      O16                     Ne20                     Mg24                     Si28                      S32                     Ar36                     Ca40                     Ti44                     Cr48                     Fe52                     Fe54                     Ni56                     Fe56                     'Fe'
   1:    3.9784000000033842E+30   5.1788070671615843E+06  -4.3309688170024604E+06   6.8380243185455942E+09   7.2874429551555367E+09   5.4749969983711353E+27   2.2371980593063360E+18   6.8005726623856178E-01   0.0000000000000000E+00   5.3971752042766475E+01   4.3725471186748471E-01       radiative       NSE   2.8024856794866919E-04   2.6525584944692213E-06                      ---   1.7953133728127449E-03                      ---                      ---   0.0000000000000000E+00                      ---   9.0327318324953961E-08   7.2530593818907338E-09   9.7947262006770832E-06   5.6620084797545261E-06   2.4174709738723944E-05   1.8329380562764988E-03   1.7891581474371454E-01                      ---   3.3250445047686395E-05   2.4316069634547090E-10   1.0178510597059866E-03   8.1608218585663339E-01
   2:    8.1241080714137673E+30   6.5900517543361513E+06  -5.5106197932661027E+06   6.7189464963569565E+09   7.2975535029488401E+09   5.3559468673492782E+27   2.2268363812030815E+18   6.8369467054414468E-01   0.0000000000000000E+00   5.3870973270131387E+01   4.3747015168363307E-01       radiative       NSE   2.8392814463728633E-04   2.8487430856784093E-06                      ---   1.8825008800223380E-03                      ---                      ---   0.0000000000000000E+00                      ---   9.7595865437107510E-08   8.2612663735355715E-09   1.0529963794887437E-05   6.0929559429827873E-06   2.5205032493430056E-05   1.8578174585936727E-03   1.7857710272037411E-01                      ---   3.7164399798576710E-05   2.9066774208038597E-10   1.1053967836661802E-03   8.1621128918148533E-01
   3:    1.3337059990110343E+31   7.7993099881423274E+06  -6.5211007278504521E+06   6.6116604231203423E+09   7.3067434053010693E+09   5.2491415264903124E+27   2.2173926335602865E+18   6.8704939654606034E-01   0.0000000000000000E+00   5.3777533231990297E+01   4.3766498572753471E-01       radiative       NSE   2.8736518306141340E-04   3.0394039925514834E-06                      ---   1.9653755691695432E-03                      ---                      ---   0.0000000000000000E+00                      ---   1.0467232943616772E-07   9.2922337679412669E-09   1.1241675269208139E-05   6.5097591684768144E-06   2.6170588462340700E-05   1.8802521845007836E-03   1.7826010136293502E-01                      ---   4.1079433870738108E-05   3.4141774586079499E-10   1.1903770443609752E-03   8.1632835440342821E-01
   4:    1.9892000000007698E+31   8.9430120800450426E+06  -7.4764770782943368E+06   6.4982965116216373E+09   7.3165254099683065E+09   5.1367622958546840E+27   2.2072993246737124E+18   6.9067701383625402E-01   0.0000000000000000E+00   5.3675956440909829E+01   4.3787169211064636E-01       radiative       NSE   2.9111902404671243E-04   3.2563961192964978E-06                      ---   2.0576555434622295E-03                      ---                      ---   0.0000000000000000E+00                      ---   1.1273785501711167E-07   1.0525493836606865E-08   1.2048395058716545E-05   6.9817774231452532E-06   2.7230555890810876E-05   1.9039611292205479E-03   1.7791207067472886E-01                      ---   4.5661627212426482E-05   4.0477545624800078E-10   1.2869537316980127E-03   8.1645291666133535E-01
   5:    2.9838000000006935E+31   1.0286859120873321E+07  -8.5985818899967074E+06   6.3604754729389849E+09   7.3284939989842758E+09   5.0008072195268314E+27   2.1948643977560305E+18   6.9520584405269381E-01   0.0000000000000000E+00   5.3548369453031327E+01   4.3812420494176846E-01       radiative       NSE   2.9584573274450601E-04   3.5435475099129163E-06                      ---   2.1767367763128446E-03                      ---                      ---   0.0000000000000000E+00                      ---   1.2342470816002655E-07   1.2253047656985656E-08   1.3110730139128043E-05   7.6026659309717966E-06   2.8575685547575600E-05   1.9327543407452179E-03   1.7746980466213916E-01                      ---   5.1920739888296251E-05   4.9796418825033356E-10   1.4145016438962511E-03   8.1660544415504399E-01
   6:    3.9784000000006172E+31   1.1371489596717788E+07  -9.5038552754871249E+06   6.2173195459278450E+09   7.3409920661082115E+09   4.8603800309784246E+27   2.1817522062256169E+18   7.0005347303285859E-01   0.0000000000000000E+00   5.3410825211654114E+01   4.3838804038166057E-01       radiative       NSE   3.0093876805671897E-04   3.8716225556733896E-06                      ---   2.3089800860953600E-03                      ---                      ---   0.0000000000000000E+00                      ---   1.3564609635273327E-07   1.4356252540409549E-08   1.4317449974106036E-05   8.3069868540189178E-06   3.0040955393177112E-05   1.9625913487728635E-03   1.7698674573184056E-01                      ---   5.9327326367368863E-05   6.1774766937212455E-10   1.5598385150996218E-03   8.1676486473372256E-01
   7:    4.9729999999996186E+31   1.2299024321475266E+07  -1.0277712485016823E+07   6.0887873030293541E+09   7.3522426077523575E+09   4.7349960195474183E+27   2.1698030693334548E+18   7.0453510759819671E-01   0.0000000000000000E+00   5.3282759341188843E+01   4.3862642989107631E-01       radiative       NSE   3.0565970668980055E-04   4.1946744750040104E-06                      ---   2.4356373693041446E-03                      ---                      ---   0.0000000000000000E+00                      ---   1.4768494815306172E-07   1.6558437903234151E-08   1.5498744360424725E-05   8.9955044586739667E-06   3.1417527499155129E-05   1.9892727274599033E-03   1.7653092561632755E-01                      ---   6.6871388668405840E-05   7.4990872319106587E-10   1.7025622747147795E-03   8.1690877090013503E-01
   8:    5.9676000000004646E+31   1.3119412903838724E+07  -1.0961932739978164E+07   5.9707722842125950E+09   7.3625767514217825E+09   4.6204631890453505E+27   2.1586793693611679E+18   7.0876159718485732E-01   0.0000000000000000E+00   5.3161167473179979E+01   4.3884669874996929E-01       radiative       NSE   3.1011014125598396E-04   4.5173383123311348E-06                      ---   2.5589648780902107E-03                      ---                      ---   0.0000000000000000E+00                      ---   1.5970780652080138E-07   1.8884420115318328E-08   1.6672046263315409E-05   9.6784373797435777E-06   3.2733885250280510E-05   2.0136466033162277E-03   1.7609284324984692E-01                      ---   7.4640887792534871E-05   8.9630736564193406E-10   1.8447388845643780E-03   8.1704124282911628E-01
   9:    7.4595000000003502E+31   1.4208894638498759E+07  -1.1870204016560823E+07   5.8333011304999485E+09   7.3745910135379677E+09   4.4877738537753079E+27   2.1455309750950116E+18   7.1382391499696041E-01   0.0000000000000000E+00   5.3014468363938718E+01   4.3910512273213337E-01       radiative       NSE   3.1542174690257313E-04   4.9276223200181398E-06                      ---   2.7116474058111032E-03                      ---                      ---   0.0000000000000000E+00                      ---   1.7498532212454161E-07   2.2019788624092317E-08   1.8154941364467286E-05   1.0540286198647076E-05   3.4332211704968459E-05   2.0418379978422796E-03   1.7555747013568532E-01                      ---   8.4840942306184749E-05   1.1037298126456934E-09   2.0250222755330426E-03   8.1719557143092891E-01
  10:    8.9514000000002358E+31   1.5176360554449486E+07  -1.2676383635083139E+07   5.6824855974771996E+09   7.3877202912223415E+09   4.3431190774076408E+27   2.1308615009252826E+18   7.1955705132372449E-01   0.0000000000000000E+00   5.2846861389266657E+01   4.3939112080947379E-01       radiative       NSE   3.2139988163980661E-04   5.4248525574673632E-06                      ---   2.8911418131979589E-03                      ---                      ---   0.0000000000000000E+00                      ---   1.9347504141825269E-07   2.6078282388142622E-08   1.9939126634518240E-05   1.1575370350550058E-05   3.6169149168607336E-05   2.0724751943226377E-03   1.7493767021678561E-01                      ---   9.7653056132274971E-05   1.3877557176270518E-09   2.2427331540157600E-03   8.1736355795132387E-01
