VERSION 10114 -- Fri Sep 14 09:42:15 2012 UTC -- created by alex on w.spa.umn.edu from file ~/kepler/s15s7b2/s15s7b2#presn -- time 4.28225106184563688E+14 s -- RUN UUID: 00000000-0000-0000-0000-000000000000 -- DUMP UUID: 00000000-0000-0000-0000-000000000000
  grid    cell outer total mass        cell outer radius      cell outer velocity             cell density         cell temperature            cell pressure     cell specific energy    cell specific entropy    cell angular velocity               cell A_bar                 cell Y_e       stability   NETWORK                 neutrons                       H1                      He3                      He4                      C12                      N14                      O16                     Ne20                     Mg24                     Si28                      S32                     Ar36                     Ca40                     Ti44                     Cr48                     Fe52                     Fe54                     Ni56                     Fe56                     'Fe'
    11   1.2000000000003640E+32   1.5355209106036270E+07  -1.4947963205717886E+07   7.2200991600622797E+09   8.0230240344127340E+09   5.7639413101828265E+27   2.2656231343917778E+18   7.5246135653555513E-01   1.5410076486517931E-22   4.5220441471674469E+01   4.2449900502018983E-01      convective       NSE   3.7412977685386023E-03   2.0285579081295229E-06                      ---   2.2952907664294236E-03                      ---                      ---   0.0000000000000000E+00                      ---   3.7422795678494634E-08   9.2132441811414501E-11   1.6736535354562277E-06   5.2835531716582629E-07   1.2484376293207720E-05   1.3908166545497785E-03   2.8260703357564143E-01                      ---   4.9908334021176313E-08   3.7351663522148337E-14   2.9408910709279730E-06   7.0994580509847582E-01
    12   1.4000000000009627E+32   1.6265275719361778E+07  -1.5827082315733617E+07   6.9943924024838800E+09   8.0113708431242380E+09   5.5352207451290358E+27   2.2445333797242447E+18   7.5570678041521644E-01   3.1791684213743862E-23   4.5403263997261618E+01   4.2480336182408940E-01      convective       NSE   3.6341006078384670E-03   2.1636413414147190E-06                      ---   2.3927478309961254E-03                      ---                      ---   0.0000000000000000E+00                      ---   4.0771465392273036E-08   1.1179722691674219E-10   1.8457061863054686E-06   5.9525542204667947E-07   1.3308050939834074E-05   1.4494415075885590E-03   2.7903477770724339E-01                      ---   6.3250300260548185E-08   5.1538613789361066E-14   3.6271690054105356E-06   7.1346727478849026E-01
    13   1.6000000000017920E+32   1.7107746444939781E+07  -1.6639950355211664E+07   6.7833150292238207E+09   7.9998895256515236E+09   5.3232798075308486E+27   2.2243967410703432E+18   7.5891787246527243E-01   9.4831899419880268E-22   4.5571652165478227E+01   4.2509911931594885E-01      convective       NSE   3.5339502671329921E-03   2.2995009832851744E-06                      ---   2.4885420500710019E-03                      ---                      ---   0.0000000000000000E+00                      ---   4.4179261434543958E-08   1.3421263466185671E-10   2.0239745223916118E-06   6.6594972758464270E-07   1.4124078501187015E-05   1.5059129473275362E-03   2.7574571610570664E-01                      ---   7.9133522888751635E-08   6.9882832772561369E-14   4.4227335067869608E-06   7.1670220460520384E-01
    14   1.8000000000028980E+32   1.7896680953003779E+07  -1.7400307998260301E+07   6.5844527434517870E+09   7.9884850188196402E+09   5.1253700911456357E+27   2.2050381756497554E+18   7.6210003958548833E-01   1.0621607633054447E-19   4.5729010294289452E+01   4.2538915770263702E-01      convective       NSE   3.4390914890747243E-03   2.4368167088102753E-06                      ---   2.5832052421692988E-03                      ---                      ---   0.0000000000000000E+00                      ---   4.7661269231116528E-08   1.5976058111607639E-10   2.2094566174712229E-06   7.4088825372691121E-07   1.4936686306764177E-05   1.5606430732501113E-03   2.7268286518979001E-01                      ---   9.8009521889033868E-08   9.3466163603551705E-14   5.3446086503747387E-06   7.1970836562005636E-01
    15   2.0000000000042346E+32   1.8642102536063351E+07  -1.8117953526268411E+07   6.3960190073499689E+09   7.9773054514483671E+09   4.9394669071102483E+27   2.1863565041543777E+18   7.6529261175635799E-01   2.9553415395478993E-17   4.5874085811633584E+01   4.2567422448459319E-01      convective       NSE   3.3498112347700713E-03   2.5768700806340852E-06                      ---   2.6777812739462634E-03                      ---                      ---   0.0000000000000000E+00                      ---   5.1243305166779132E-08   1.8886659977010815E-10   2.4032755908787129E-06   8.2051014620998072E-07   1.5750855474036052E-05   1.6139644026857949E-03   2.6982283307751370E-01                      ---   1.2035316846733203E-07   1.2358645669459451E-13   6.4090809136286254E-06   7.2250746175399827E-01
    16   2.2000000000058940E+32   1.9351438953269474E+07  -1.8800148364403646E+07   6.2166705710600672E+09   7.9661795198184710E+09   4.7640219996404903E+27   2.1682383049547415E+18   7.6847947478386625E-01   5.0211835178681885E-17   4.6010784734813953E+01   4.2595673599325690E-01      convective       NSE   3.2642722787658732E-03   2.7197985912767353E-06                      ---   2.7722601402897697E-03                      ---                      ---   0.0000000000000000E+00                      ---   5.4930999234594702E-08   2.2202498675256072E-10   2.6062339872717344E-06   9.0526805264933258E-07   1.6568198229390833E-05   1.6660725827915305E-03   2.6712378360582162E-01                      ---   1.4679550545351533E-07   1.6193749360002417E-13   7.6392412866708286E-06   7.2514295401873663E-01
    17   2.4000000000080606E+32   2.0030368959238678E+07  -1.9452443672151901E+07   6.0453409246891432E+09   7.9551607265506783E+09   4.5978162531056907E+27   2.1506212490090839E+18   7.7167965750563883E-01   4.9656131528788109E-25   4.6138904087169799E+01   4.2623735965523807E-01      convective       NSE   3.1824038187680628E-03   2.8663896157952694E-06                      ---   2.8671979099673820E-03                      ---                      ---   0.0000000000000000E+00                      ---   5.8741425632346917E-08   2.5978637354807585E-10   2.8192995822557258E-06   9.9561439486070169E-07   1.7391488126172854E-05   1.7171385869461386E-03   2.6456924635322021E-01                      ---   1.7801373846195350E-07   2.1056570878743656E-13   9.0579945881314034E-06   7.2763062800788358E-01
    18   2.6000000000106885E+32   2.0683344329773035E+07  -2.0079188671687949E+07   5.8811825382239046E+09   7.9441360436799107E+09   4.4398668724614543E+27   2.1334384729842068E+18   7.7488315353381931E-01   1.6415816744822093E-31   4.6260887473270884E+01   4.2651769511584203E-01      convective       NSE   3.1030721114735363E-03   3.0167855079062394E-06                      ---   2.9625682496796975E-03                      ---                      ---   0.0000000000000000E+00                      ---   6.2680034805659617E-08   3.0279331215911615E-10   3.0433018577727511E-06   1.0920401944501252E-06   1.8221634475676168E-05   1.7672596784682896E-03   2.6213300905781484E-01                      ---   2.1487038230138184E-07   2.7210935240916385E-13   1.0695389806681459E-05   7.2999772550605813E-01
    19   2.8000000000139158E+32   2.1313931424092308E+07  -2.0683869682071757E+07   5.7234799963616552E+09   7.9334049018011303E+09   4.2893660642531092E+27   2.1166663382247101E+18   7.7814491805102959E-01   1.5599846350180232E-17   4.6372153292631943E+01   4.2679631351109909E-01      convective       NSE   3.0280178477696739E-03   3.1726665851101384E-06                      ---   3.0596456096092608E-03                      ---                      ---   0.0000000000000000E+00                      ---   6.6780530520908001E-08   3.5171804960092418E-10   3.2794336409739227E-06   1.1949848963601762E-06   1.9062914543128847E-05   1.8165784092012908E-03   2.5982654047105191E-01                      ---   2.5813676993067447E-07   3.4952535995593441E-13   1.2573345950756862E-05   7.3222958974515984E-01
    20   3.0000000000176966E+32   2.1925034948322061E+07  -2.1269320156332921E+07   5.5716754673576365E+09   7.9225053544938402E+09   4.1456390852135608E+27   2.1002347354012134E+18   7.8139612906217670E-01   1.3552477603340882E-15   4.6480758078115379E+01   4.2707708887410484E-01      convective       NSE   2.9538771141066700E-03   3.3327849258806351E-06                      ---   3.1571738242187177E-03                      ---                      ---   0.0000000000000000E+00                      ---   7.1023276264616040E-08   4.0746302485396606E-10   3.5283394825921616E-06   1.3050924524683662E-06   1.9912628970878888E-05   1.8650731844391043E-03   2.5759952665447988E-01                      ---   3.0920860625744140E-07   4.4721391418170414E-13   1.4742399321609162E-05   7.3438112708942682E-01
    21   3.2000000000219385E+32   2.2519061281227883E+07  -2.1837890553659968E+07   5.4252581334035206E+09   7.9118307684290695E+09   4.0081144417069679E+27   2.0841355238697723E+18   7.8470468945876826E-01   3.7427865363497715E-21   4.6580406631529144E+01   4.2735763211169059E-01      convective       NSE   2.8830937758843899E-03   3.4992005028799671E-06                      ---   3.2567066220097404E-03                      ---                      ---   0.0000000000000000E+00                      ---   7.5448990731672664E-08   4.7087515137414576E-10   3.7913152109289380E-06   1.4228058882063776E-06   2.0775398815835422E-05   1.9128540139794641E-03   2.5547566208214878E-01                      ---   3.6908210467804943E-07   5.6968449573591194E-13   1.7228148156811467E-05   7.3642450039464413E-01
    22   3.4000000000265955E+32   2.3098028123569358E+07  -2.2391550584085997E+07   5.2838194438243189E+09   7.9011561098367271E+09   3.8763023848546529E+27   2.0683264183106342E+18   7.8803904228493127E-01   5.1503628782735927E-17   4.6675029995458488E+01   4.2764000291663806E-01      convective       NSE   2.8140104023759204E-03   3.6715312616567670E-06                      ---   3.3577011561276037E-03                      ---                      ---   0.0000000000000000E+00                      ---   8.0053790505159282E-08   5.4307523176398975E-10   4.0692815190194069E-06   1.5487946222293688E-06   2.1650156198932208E-05   1.9599006422687869E-03   2.5342790895587253E-01                      ---   4.3944258575997700E-07   7.2338649245914679E-13   2.0085769727112721E-05   7.3838891099499693E-01
    23   3.6000000000317598E+32   2.3663648519456502E+07  -2.2931971891684081E+07   5.1469948401647902E+09   7.8905274712416773E+09   3.7497788494062535E+27   2.0527900823993344E+18   7.9141144818141451E-01   1.1413294814604883E-18   4.6764002415607926E+01   4.2792418621490774E-01      convective       NSE   2.7468066255885220E-03   3.8504731006189355E-06                      ---   3.4605141029724474E-03                      ---                      ---   0.0000000000000000E+00                      ---   8.4853353888217736E-08   6.2526155155704751E-10   4.3633727711454178E-06   1.6836662963358738E-06   2.2538030153542979E-05   2.0062243762999270E-03   2.5145330343296390E-01                      ---   5.2200099223803430E-07   9.1591990181608649E-13   2.3365636482485664E-05   7.4027671944254647E-01
    24   3.8000000000374313E+32   2.4217391948072989E+07  -2.3460586981034804E+07   5.0144697706435251E+09   7.8799356907658634E+09   3.6281733220232488E+27   2.0375052595890486E+18   7.9482484923535357E-01   2.2080836472161631E-18   4.6847556297157773E+01   4.2821049028793223E-01      convective       NSE   2.6813299982883154E-03   4.0364819222875826E-06                      ---   3.5652901996025927E-03                      ---                      ---   0.0000000000000000E+00                      ---   8.9858514359870069E-08   7.1880369413200656E-10   4.6746975541745198E-06   1.8280660068523388E-06   2.3439347424955335E-05   2.0518064969270123E-03   2.4954538497896667E-01                      ---   6.1879633533263010E-07   1.1568023953990193E-12   2.7127377141471271E-05   7.4209434848193800E-01
    25   4.0000000000435180E+32   2.4760530849782620E+07  -2.3978634741723921E+07   4.8859687652944508E+09   7.8693698508203363E+09   3.5111594822693461E+27   2.0224531630829734E+18   7.9828142613934305E-01   2.1800380275798858E-14   4.6925908819647994E+01   4.2849916410692818E-01      convective       NSE   2.6174444593600747E-03   4.2299900859440145E-06                      ---   3.6721466538702967E-03                      ---                      ---   0.0000000000000000E+00                      ---   9.5079159207623043E-08   8.2524672937913305E-10   5.0043734624074105E-06   1.9826571243753266E-06   2.4354130505191165E-05   2.0966109962695556E-03   2.4769843246892570E-01                      ---   7.3219263219224896E-07   1.4578269893246133E-12   3.1438449213488435E-05   7.4384750202744410E-01
    26   4.2000000000500657E+32   2.5294176552153755E+07  -2.4487195748988256E+07   4.7612479502533560E+09   7.8588239324280605E+09   3.3984478780008133E+27   2.0076176187888876E+18   8.0178355650711775E-01   0.0000000000000000E+00   4.6999199512271034E+01   4.2879042621940688E-01      convective       NSE   2.5550457527503704E-03   4.4314872427596936E-06                      ---   3.7812212426254210E-03                      ---                      ---   0.0000000000000000E+00                      ---   1.0052647821504927E-07   9.4636016280146047E-10   5.3536263083654702E-06   2.1481611786371653E-06   2.5282470316331263E-05   2.1406007758832937E-03   2.4590725142329617E-01                      ---   8.6494694126949761E-07   1.8336591931384480E-12   3.6375645157064324E-05   7.4554129604245190E-01
    27   4.4000000000570747E+32   2.5819307303818498E+07  -2.4987219761744294E+07   4.6400902267712660E+09   7.8482939411226625E+09   3.2897801165168241E+27   1.9929844026920238E+18   8.0533348091682266E-01   2.4415955812662353E-23   4.7067530763672949E+01   4.2908447503868058E-01      convective       NSE   2.4940458015559781E-03   4.6415071438822701E-06                      ---   3.8926612381494914E-03                      ---                      ---   0.0000000000000000E+00                      ---   1.0621262142501578E-07   1.0841702122876179E-09   5.7237855968111831E-06   2.3253584670037371E-06   2.6224461170668136E-05   2.1837353519006753E-03   2.4416699313418450E-01                      ---   1.0202763395143388E-06   2.3025469290377706E-12   4.2026432177847438E-05   7.4718046708316510E-01
    28   4.6000000000645909E+32   2.6336790996663217E+07  -2.5479550124354493E+07   4.5222962927416172E+09   7.8379241316675987E+09   3.1849242000506577E+27   1.9785498869709645E+18   8.0895596790848112E-01   1.7321255196197894E-24   4.7128714359200615E+01   4.2938025162613197E-01      convective       NSE   2.4352201010872637E-03   4.8614268768508279E-06                      ---   4.0072436603908511E-03                      ---                      ---   0.0000000000000000E+00                      ---   1.1216644717635674E-07   1.2408221014378096E-09   6.1163311537841281E-06   2.5149440090893168E-06   2.7182003063102094E-05   2.2260261063958404E-03   2.4248460690791546E-01                      ---   1.2013850320463189E-06   2.8856761418491384E-12   4.8467917337487190E-05   7.4875641614504018E-01
    29   4.8000000000725683E+32   2.6847400233345177E+07  -2.5964933359892819E+07   4.4077098096335526E+09   7.8271094563609705E+09   3.0836707521510335E+27   1.9642775164250580E+18   8.1256033248577697E-01   1.5758200110060714E-27   4.7192123286470903E+01   4.2968316590954853E-01      convective       NSE   2.3749887790385452E-03   5.0886553962043023E-06                      ---   4.1225984853224609E-03                      ---                      ---   0.0000000000000000E+00                      ---   1.1833988749894770E-07   1.4198337079961465E-09   6.5328750129202422E-06   2.7185561869225279E-06   2.8148151870304786E-05   2.2672111306755835E-03   2.4080761684203467E-01                      ---   1.4151439367124654E-06   3.6185183253292515E-12   5.5913669177656265E-05   7.5032761683928173E-01
    30   5.0000000000810069E+32   2.7351831918366376E+07  -2.6444049374783892E+07   4.2961452647956686E+09   7.8167521983579378E+09   2.9858298753348259E+27   1.9501896728369101E+18   8.1628982703446662E-01   4.9876256813134703E-23   4.7243796291634482E+01   4.2998529969052279E-01      convective       NSE   2.3185812224975825E-03   5.3285870808550804E-06                      ---   4.2426566252562713E-03                      ---                      ---   0.0000000000000000E+00                      ---   1.2483713453585076E-07   1.6228144784114166E-09   6.9747093840450220E-06   2.9359223167343447E-06   2.9132777350428207E-05   2.3075369134385902E-03   2.3920505245859341E-01                      ---   1.6626727767639885E-06   4.5245846784889149E-12   6.4333516619148755E-05   7.5181564548323054E-01
    31   5.2000000000898144E+32   2.7850714194359723E+07  -2.6917505750884648E+07   4.1874728720787129E+09   7.8064164791196747E+09   2.8912286439034269E+27   1.9362615144364608E+18   8.2008014633027049E-01   1.1408592016055019E-23   4.7290486216525991E+01   4.3029047309372187E-01      convective       NSE   2.2634101442692931E-03   5.5795865061328248E-06                      ---   4.3657610244254366E-03                      ---                      ---   0.0000000000000000E+00                      ---   1.3162754825463485E-07   1.8537224091211192E-09   7.4434921119808911E-06   3.1685105018356993E-06   3.0130575266424006E-05   2.3467909166834072E-03   2.3763846528899946E-01                      ---   1.9514257597298417E-06   5.6515349019825971E-12   7.3936742642806129E-05   7.5326319453751878E-01
    32   5.4000000000989908E+32   2.8344615973068029E+07  -2.7385846264848989E+07   4.0815760782599602E+09   7.7955213030710306E+09   2.7997089320127989E+27   1.9224628554667707E+18   8.2384540351508129E-01   3.5241302724600092E-22   4.7340881483375895E+01   4.3060419867730404E-01      convective       NSE   2.2062387093200941E-03   5.8389327310269208E-06                      ---   4.4894254653657780E-03                      ---                      ---   0.0000000000000000E+00                      ---   1.3865845343632967E-07   2.1180406353816718E-09   7.9415204452846984E-06   3.4184788264685291E-06   3.1133745055305586E-05   2.3846360946666767E-03   2.3605846048958773E-01                      ---   2.2927499997461410E-06   7.0698873602771779E-12   8.5053071490919061E-05   7.5472538400088596E-01
    33   5.6000000001085823E+32   2.8834059751557421E+07  -2.7849577949778453E+07   3.9783090528741159E+09   7.7851331011514482E+09   2.7111255875884223E+27   1.9088366635913252E+18   8.2775140746332398E-01   4.1214039128475219E-20   4.7378905378585820E+01   4.3091645339932710E-01      convective       NSE   2.1529909166726991E-03   6.1134753212831078E-06                      ---   4.6185772440757418E-03                      ---                      ---   0.0000000000000000E+00                      ---   1.4606207055028339E-07   2.4173977487691607E-09   8.4696108169529456E-06   3.6848815340180060E-06   3.2154772380924041E-05   2.4214637843966345E-03   2.3454657337247567E-01                      ---   2.6866719374382008E-06   8.8185298949719030E-12   9.7573644540718373E-05   7.5610952538089182E-01
    34   5.8000000001185427E+32   2.9319523549887665E+07  -2.8309159110927645E+07   3.8775751610778923E+09   7.7747654855024605E+09   2.6253449639085877E+27   1.8953341806909499E+18   8.3172583829611091E-01   1.1561089968827617E-17   4.7411891363309778E+01   4.3123170655334497E-01      convective       NSE   2.1009182483417901E-03   6.4011895407699000E-06                      ---   4.7512086882332653E-03                      ---                      ---   0.0000000000000000E+00                      ---   1.5379836010376960E-07   2.7578938057073236E-09   9.0299973218185657E-06   3.9696725167983270E-06   3.3186986910127633E-05   2.4569917623573981E-03   2.3306097545940857E-01                      ---   3.1454017007254763E-06   1.0990646709111408E-11   1.1182206397123083E-04   7.5746215430891528E-01
    35   6.0000000001287799E+32   2.9801446411066465E+07  -2.8765003607489679E+07   3.7792870042791486E+09   7.7637462440654192E+09   2.5422435960905864E+27   1.8819347884025034E+18   8.3566898447965487E-01   2.0839974239532400E-17   4.7449609957072070E+01   4.3155667501561717E-01      convective       NSE   2.0464561366298531E-03   6.6986162651560037E-06                      ---   4.8842139357280654E-03                      ---                      ---   0.0000000000000000E+00                      ---   1.6179792524040401E-07   3.1483969592401727E-09   9.6260262084769058E-06   4.2759046584378345E-06   3.4220300241208415E-05   2.4907506908535427E-03   2.3154545109756466E-01                      ---   3.6884699216403463E-06   1.3729599318704638E-11   1.2833580850183122E-04   7.5884607642419211E-01
    36   6.2000000001392937E+32   3.0280238538578771E+07  -2.9217511050966866E+07   3.6833222924573598E+09   7.7535367698953171E+09   2.4617070640357781E+27   1.8686910482491625E+18   8.3980407840399585E-01   2.5243640198937351E-25   4.7470718966454314E+01   4.3187670635548092E-01      convective       NSE   1.9973198159985851E-03   7.0158148251395983E-06                      ---   5.0248085192233565E-03                      ---                      ---   0.0000000000000000E+00                      ---   1.7025661817132319E-07   3.5887616524443167E-09   1.0257097379180442E-05   4.6008833463679238E-06   3.5274034222444643E-05   2.5235024597471106E-03   2.3011195255696773E-01                      ---   4.3091243061470431E-06   1.7078339064039423E-11   1.4672666190898646E-04   7.6013401542901027E-01
    37   6.4000000001501764E+32   3.0756277482649740E+07  -2.9667033998138417E+07   3.5896273214514098E+09   7.7424018912509775E+09   2.3836290962805725E+27   1.8555235908191140E+18   8.4387232066517248E-01   9.1896588334166530E-32   4.7500279183842835E+01   4.3220934737874206E-01      convective       NSE   1.9444540828635075E-03   7.3424521154001117E-06                      ---   5.1645878513375326E-03                      ---                      ---   0.0000000000000000E+00                      ---   1.7896717391244436E-07   4.0957388770272689E-09   1.0929309028137476E-05   4.9511052774311824E-06   3.6322337761664377E-05   2.5540878655960935E-03   2.2862078933866828E-01                      ---   5.0482835717993342E-06   2.1325073502221266E-11   1.6817782236374555E-04   7.6148308053534364E-01
    38   6.6000000001612898E+32   3.1229919457655806E+07  -3.0113916088399533E+07   3.4980942283548265E+09   7.7318743890686569E+09   2.3079106753509578E+27   1.8425017694845501E+18   8.4810742773281844E-01   7.0511295866677377E-18   4.7516241644074704E+01   4.3253874791680069E-01      convective       NSE   1.8957552248148797E-03   7.6895279248015633E-06                      ---   5.3113766586794509E-03                      ---                      ---   0.0000000000000000E+00                      ---   1.8814393212733612E-07   4.6687625189906564E-09   1.1641273082318588E-05   5.3230807456357506E-06   3.7386553766939365E-05   2.5834245265119733E-03   2.2718948910788594E-01                      ---   5.8964921927506980E-06   2.6539193111610464E-11   1.9216841586059495E-04   7.6275960802931642E-01
